Model,Accuracy,Precision,Recall,F1-Score
Linear SVM,0.9806576402321083,0.9663865546218487,0.8778625954198473,0.92
Random Forest,0.971953578336557,0.9903846153846154,0.7862595419847328,0.8765957446808511
Multinomial Naive Bayes,0.9661508704061895,0.9897959183673469,0.7404580152671756,0.8471615720524017
Logistic Regression,0.9555125725338491,0.9775280898876404,0.6641221374045801,0.7909090909090909
